student,take_exam,social,gender,pretest,posttest,Fi,CBi,Vi,MApi,PApi,total_time,total_activity,total_time_be,total_activity_be,qp_time,wa_time,qp_activity,wa_activity,exam_norm,lgain_pp,lgain_pe
user0270,1,0,1,0.36,,0.5,0.4,0.53,0.56,0.17,206499979.0,272.0,2949.0,272.0,50101451.0,156398528.0,1089.0,1860.0,87.0,,
user0289,1,0,0,0.27,,0.5,0.45,0.67,0.33,0.5,469499857.0,100.0,1257.0,100.0,34270429.0,435229428.0,436.0,821.0,90.0,,
user0257,1,0,1,0.09,0.73,0.58,0,0.6,0.72,0.17,1916426.0,2.0,27.0,2.0,1916426.0,0.0,27.0,0.0,93.0,0.64,711.1111111111112
user0265,1,0,1,0.18,0.27,0.5,0.55,0.67,0.72,0.61,141873806.0,36.0,621.0,36.0,33837572.0,108036234.0,249.0,372.0,89.0,0.09000000000000002,50.000000000000014
user0280,1,0,1,0.0,,0.58,0.5,0.8,0.72,0.56,1404043906.0,285.0,2161.0,285.0,19960684.0,1384083222.0,153.0,2008.0,45.0,,0.0
user0302,1,0,0,0.09,0.55,0.58,0.55,0.53,0.61,0.5,540421637.0,106.0,615.0,106.0,17840377.0,522581260.0,195.0,420.0,94.0,0.4600000000000001,511.11111111111126
user0272,1,0,1,0.27,1.0,0.67,0.35,0.67,0.61,0.56,1682148998.0,321.0,3962.0,321.0,206013506.0,1476135492.0,1965.0,1997.0,94.0,0.73,270.3703703703703
user0273,1,0,1,0.0,0.55,0.5,0.15,0.53,0.56,0.61,637522792.0,234.0,1321.0,234.0,16871595.0,620651197.0,349.0,972.0,93.0,0.55,0.0
user0324,1,0,0,0.18,0.55,0.58,0.5,0.73,0.72,0.39,33952384.0,14.0,503.0,14.0,24250635.0,9701749.0,401.0,102.0,95.0,0.37000000000000005,205.55555555555557
user0254,1,0,1,0.27,,0.83,0.85,0.93,0.94,0.5,362113411.0,345.0,4680.0,345.0,18684237.0,343429174.0,1049.0,3631.0,98.0,,
user0292,1,0,1,0.73,,0.67,0.7,1,0.83,0,3260078.0,2.0,52.0,2.0,3260078.0,0.0,52.0,0.0,87.0,,
user0268,1,0,1,0.09,0.55,1,0.6,1,0.94,0.61,142553868.0,44.0,1429.0,44.0,142553868.0,0.0,1429.0,0.0,88.0,0.4600000000000001,511.11111111111126
user0298,1,0,1,0.0,0.27,0.33,0.4,0.4,0.83,0.5,794808987.0,214.0,3094.0,214.0,172813625.0,621995362.0,1527.0,1567.0,86.0,0.27,0.0
user0281,1,0,0,0.18,0.64,0.75,0.3,0.73,0.94,0.61,213721829.0,311.0,10202.0,311.0,29115930.0,184605899.0,2658.0,7544.0,94.0,0.46,255.55555555555557
user0290,1,0,1,0.27,,0.58,0.6,0.73,0.56,0.72,433242491.0,189.0,893.0,189.0,35390839.0,397851652.0,359.0,534.0,91.0,,
user0295,0,0,1,0.73,,0.58,0.85,1,0.61,0.67,1356069482.0,277.0,1813.0,277.0,52119405.0,1303950077.0,307.0,1506.0,0.0,,
user0276,1,0,0,0.18,0.82,0.5,0.4,0.6,0.56,0.67,257938318.0,237.0,1806.0,237.0,8490675.0,249447643.0,322.0,1484.0,100.0,0.6399999999999999,355.55555555555554
user0279,1,0,1,0.27,0.55,0.58,0.3,0.67,0.72,0.67,5365729.0,29.0,400.0,29.0,1294055.0,4071674.0,199.0,201.0,96.0,0.28,103.7037037037037
user0300,1,0,1,0.73,0.73,0.67,0.8,0.67,0.72,0.83,116346278.0,113.0,749.0,113.0,11607244.0,104739034.0,236.0,513.0,79.0,0.0,0.0
user0313,0,0,1,0.18,,0.67,0.85,0.8,0.94,0.83,188532296.0,169.0,1409.0,169.0,20048615.0,168483681.0,570.0,839.0,0.0,,
user0262,1,0,1,1.0,1.0,0.75,1,0.67,1,1,150499577.0,195.0,1011.0,195.0,18251726.0,132247851.0,306.0,705.0,96.0,0.0,0.0
user0274,1,0,1,1.0,0.91,0.83,1,0.93,1,1,476813049.0,453.0,2236.0,453.0,27938365.0,448874684.0,648.0,1588.0,99.0,-0.08999999999999997,-8.999999999999996
user0322,1,0,1,0.09,0.82,0.67,0.45,0.87,0.83,0.78,1320623585.0,542.0,4582.0,542.0,136953589.0,1183669996.0,3173.0,1409.0,94.0,0.73,811.1111111111111
user0439,1,0, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,,0.0
user0422,1,0, ,0.91,0.64, , , , , ,7730683.0,1.0,3.0,1.0,0.0,7730683.0,0.0,3.0,84.0,-0.27,-29.67032967032967
user0465,0,1, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0430,1,0,1,0.09,,0.5,0.45,0.67,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,,
user0433,0,0,1,0.0,,0.42,0.25,0.33,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0456,0,0,1,0.0,,0.42,0.35,0.67,0.5,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
